edad,genero,estado_civil,nivel_educacion,ingreso_mensual,tipo_empleo,antiguedad_laboral_meses,antiguedad_historial_meses,num_cuentas_credito,num_prestamos_activos,deuda_total,utilizacion_credito,num_pagos_atrasados_12m,dias_max_atraso,num_consultas_6m,tiene_propiedad,valor_propiedad,tiene_vehiculo,monto_solicitado,plazo_meses,proposito,ratio_deuda_ingreso,ratio_cuota_ingreso,default,credit_score
47,F,Casado,Universitario,4329.94,Independiente,63,37,4,2,8601.36,15.23,0,0,6,0,0.0,0,13693.99,60,Vivienda,16.55,5.27,0,833
37,M,Soltero,Técnico,10347.14,Independiente,54,40,5,0,10190.94,21.99,0,0,0,0,0.0,0,5997.52,36,Consolidacion,8.21,1.61,0,797
49,F,Casado,Técnico,5310.9,Independiente,180,3,4,2,31316.04,35.11,1,120,4,0,0.0,0,6337.58,48,Consumo,49.14,2.49,0,781
62,M,Divorciado,Secundaria,15690.15,Empleado,128,7,0,2,138506.77,58.67,1,30,1,1,102625.96,1,34919.8,12,Vehiculo,73.56,18.55,0,779
36,F,Viudo,Técnico,4390.66,Independiente,33,3,2,0,12786.61,1.05,0,0,3,1,49534.49,1,8417.79,12,Consolidacion,24.27,15.98,0,833
36,M,Soltero,Universitario,1477.81,Empleado,118,61,1,1,4656.65,29.69,2,90,1,1,43275.46,1,2486.86,12,Vivienda,26.26,14.02,0,826
63,F,Casado,Posgrado,2828.1,Empleado,4,13,2,1,19760.93,33.04,2,120,2,1,95131.82,1,10221.88,72,Consumo,58.23,5.02,0,726
51,F,Casado,Universitario,1385.57,Empleado,13,2,1,1,320.96,25.15,1,60,0,0,0.0,1,1000.0,72,Vivienda,1.93,1.0,0,816
32,F,Soltero,Universitario,4323.28,Independiente,69,13,1,1,16227.22,14.15,0,0,3,0,0.0,0,18684.07,24,Vivienda,31.28,18.01,0,828
48,F,Divorciado,Universitario,3116.09,Empleado,84,22,1,2,15412.74,37.37,2,120,1,0,0.0,1,3891.46,48,Educacion,41.22,2.6,0,768
